,secID,code
526,002015.XSHE,2015
527,002016.XSHE,2016
528,002017.XSHE,2017
529,002018.XSHE,2018
530,002019.XSHE,2019
531,002020.XSHE,2020
532,002021.XSHE,2021
533,002022.XSHE,2022
534,002023.XSHE,2023
535,002024.XSHE,2024
536,002025.XSHE,2025
537,002026.XSHE,2026
538,002027.XSHE,2027
539,002028.XSHE,2028
540,002029.XSHE,2029
541,002030.XSHE,2030
542,002031.XSHE,2031
543,002032.XSHE,2032
544,002033.XSHE,2033
545,002034.XSHE,2034
546,002035.XSHE,2035
547,002036.XSHE,2036
548,002037.XSHE,2037
549,002038.XSHE,2038
550,002039.XSHE,2039
551,002040.XSHE,2040
552,002041.XSHE,2041
553,002042.XSHE,2042
554,002043.XSHE,2043
555,002044.XSHE,2044
556,002045.XSHE,2045
557,002046.XSHE,2046
558,002047.XSHE,2047
559,002048.XSHE,2048
560,002049.XSHE,2049
561,002050.XSHE,2050
562,002051.XSHE,2051
563,002052.XSHE,2052
564,002053.XSHE,2053
565,002054.XSHE,2054
566,002055.XSHE,2055
567,002056.XSHE,2056
568,002057.XSHE,2057
569,002058.XSHE,2058
570,002059.XSHE,2059
571,002060.XSHE,2060
572,002061.XSHE,2061
573,002062.XSHE,2062
574,002063.XSHE,2063
575,002064.XSHE,2064
576,002065.XSHE,2065
577,002066.XSHE,2066
578,002067.XSHE,2067
579,002068.XSHE,2068
580,002069.XSHE,2069
581,002070.XSHE,2070
582,002071.XSHE,2071
583,002072.XSHE,2072
584,002073.XSHE,2073
585,002074.XSHE,2074
586,002075.XSHE,2075
587,002076.XSHE,2076
588,002077.XSHE,2077
589,002078.XSHE,2078
590,002079.XSHE,2079
591,002080.XSHE,2080
592,002081.XSHE,2081
593,002082.XSHE,2082
594,002083.XSHE,2083
595,002084.XSHE,2084
596,002085.XSHE,2085
597,002086.XSHE,2086
598,002087.XSHE,2087
599,002088.XSHE,2088
600,002089.XSHE,2089
601,002090.XSHE,2090
602,002091.XSHE,2091
603,002092.XSHE,2092
604,002093.XSHE,2093
605,002094.XSHE,2094
606,002095.XSHE,2095
607,002096.XSHE,2096
608,002097.XSHE,2097
609,002098.XSHE,2098
610,002099.XSHE,2099
611,002100.XSHE,2100
612,002101.XSHE,2101
613,002102.XSHE,2102
614,002103.XSHE,2103
615,002104.XSHE,2104
616,002105.XSHE,2105
617,002106.XSHE,2106
618,002107.XSHE,2107
619,002108.XSHE,2108
620,002109.XSHE,2109
621,002110.XSHE,2110
622,002111.XSHE,2111
623,002112.XSHE,2112
624,002113.XSHE,2113
625,002114.XSHE,2114
626,002115.XSHE,2115
627,002116.XSHE,2116
628,002117.XSHE,2117
629,002118.XSHE,2118
630,002119.XSHE,2119
631,002120.XSHE,2120
632,002121.XSHE,2121
633,002122.XSHE,2122
634,002123.XSHE,2123
635,002124.XSHE,2124
636,002125.XSHE,2125
637,002126.XSHE,2126
638,002127.XSHE,2127
639,002128.XSHE,2128
640,002129.XSHE,2129
641,002130.XSHE,2130
642,002131.XSHE,2131
643,002132.XSHE,2132
644,002133.XSHE,2133
645,002134.XSHE,2134
646,002135.XSHE,2135
647,002136.XSHE,2136
648,002137.XSHE,2137
649,002138.XSHE,2138
650,002139.XSHE,2139
651,002140.XSHE,2140
652,002141.XSHE,2141
653,002142.XSHE,2142
654,002143.XSHE,2143
655,002144.XSHE,2144
656,002145.XSHE,2145
657,002146.XSHE,2146
658,002147.XSHE,2147
659,002148.XSHE,2148
660,002149.XSHE,2149
661,002150.XSHE,2150
662,002151.XSHE,2151
663,002152.XSHE,2152
664,002153.XSHE,2153
665,002154.XSHE,2154
666,002155.XSHE,2155
667,002156.XSHE,2156
668,002157.XSHE,2157
669,002158.XSHE,2158
670,002159.XSHE,2159
671,002160.XSHE,2160
672,002161.XSHE,2161
673,002162.XSHE,2162
674,002163.XSHE,2163
675,002164.XSHE,2164
676,002165.XSHE,2165
677,002166.XSHE,2166
678,002167.XSHE,2167
679,002168.XSHE,2168
680,002169.XSHE,2169
681,002170.XSHE,2170
682,002171.XSHE,2171
683,002172.XSHE,2172
684,002173.XSHE,2173
685,002174.XSHE,2174
686,002175.XSHE,2175
687,002176.XSHE,2176
688,002177.XSHE,2177
689,002178.XSHE,2178
690,002179.XSHE,2179
691,002180.XSHE,2180
692,002181.XSHE,2181
693,002182.XSHE,2182
694,002183.XSHE,2183
695,002184.XSHE,2184
696,002185.XSHE,2185
697,002186.XSHE,2186
698,002187.XSHE,2187
699,002188.XSHE,2188
700,002189.XSHE,2189
701,002190.XSHE,2190
702,002191.XSHE,2191
703,002192.XSHE,2192
704,002193.XSHE,2193
705,002194.XSHE,2194
706,002195.XSHE,2195
707,002196.XSHE,2196
708,002197.XSHE,2197
709,002198.XSHE,2198
710,002199.XSHE,2199
711,002200.XSHE,2200
712,002201.XSHE,2201
713,002202.XSHE,2202
714,002203.XSHE,2203
715,002204.XSHE,2204
716,002205.XSHE,2205
717,002206.XSHE,2206
718,002207.XSHE,2207
719,002208.XSHE,2208
720,002209.XSHE,2209
721,002210.XSHE,2210
722,002211.XSHE,2211
723,002212.XSHE,2212
724,002213.XSHE,2213
725,002214.XSHE,2214
726,002215.XSHE,2215
727,002216.XSHE,2216
728,002217.XSHE,2217
729,002218.XSHE,2218
730,002219.XSHE,2219
731,002220.XSHE,2220
732,002221.XSHE,2221
733,002222.XSHE,2222
734,002223.XSHE,2223
735,002224.XSHE,2224
736,002225.XSHE,2225
737,002226.XSHE,2226
738,002227.XSHE,2227
739,002228.XSHE,2228
740,002229.XSHE,2229
741,002230.XSHE,2230
742,002231.XSHE,2231
743,002232.XSHE,2232
744,002233.XSHE,2233
745,002234.XSHE,2234
746,002235.XSHE,2235
747,002236.XSHE,2236
748,002237.XSHE,2237
749,002238.XSHE,2238
750,002239.XSHE,2239
751,002240.XSHE,2240
752,002241.XSHE,2241
753,002242.XSHE,2242
754,002243.XSHE,2243
755,002244.XSHE,2244
756,002245.XSHE,2245
757,002246.XSHE,2246
758,002247.XSHE,2247
759,002248.XSHE,2248
760,002249.XSHE,2249
761,002250.XSHE,2250
762,002251.XSHE,2251
763,002252.XSHE,2252
764,002253.XSHE,2253
765,002254.XSHE,2254
766,002255.XSHE,2255
767,002256.XSHE,2256
768,002257.XSHE,2257
769,002258.XSHE,2258
770,002259.XSHE,2259
771,002260.XSHE,2260
772,002261.XSHE,2261
773,002262.XSHE,2262
774,002263.XSHE,2263
775,002264.XSHE,2264
776,002265.XSHE,2265
777,002266.XSHE,2266
778,002267.XSHE,2267
779,002268.XSHE,2268
780,002269.XSHE,2269
781,002270.XSHE,2270
782,002271.XSHE,2271
783,002272.XSHE,2272
784,002273.XSHE,2273
785,002274.XSHE,2274
786,002275.XSHE,2275
787,002276.XSHE,2276
788,002277.XSHE,2277
789,002278.XSHE,2278
790,002279.XSHE,2279
791,002280.XSHE,2280
792,002281.XSHE,2281
793,002282.XSHE,2282
794,002283.XSHE,2283
795,002284.XSHE,2284
796,002285.XSHE,2285
797,002286.XSHE,2286
798,002287.XSHE,2287
799,002288.XSHE,2288
800,002289.XSHE,2289
